gene	length	Osa_DSN_rep1	Osa_DSN_rep2	Osa_DSN_rep3	Osa_PolyA_rep1	Osa_PolyA_rep2	Osa_PolyA_rep3	Osa_Ribo-off_rep1	Osa_Ribo-off_rep2	Osa_Ribo-off_rep3
psbI_pt	311	524	856	962	8	8	4	6034	8198	6524
psbJ_pt	323	2454	3404	3510	6	14	8	12894	19984	14118
psbK_pt	386	180	222	296	22	34	36	906	1292	1080
psbL_pt	317	260	384	484	6	0	4	1616	1994	1650
psbM_pt	305	276	424	446	8	8	6	152	248	152
psbN_pt	332	100	166	132	8	8	20	1508	1660	1476
psbT_pt	308	36	54	54	0	0	0	308	262	274
psbZ_pt	389	352	494	534	10	14	10	1818	2248	2178
rbcL_pt	1634	5864	2986	69026	716	1164	366	271590	442684	157330
rpl14_pt	572	3332	9758	5198	52	122	100	1210	2514	1476
rpl16_pt	611	1454	4168	2270	18	42	18	872	2804	1156
rpl2_pt	1022	21770	54644	29408	470	1660	466	2030	3868	2406
rpl20_pt	560	9352	21470	13784	266	386	424	968	1988	1100
rpl22_pt	650	2024	6350	3072	4	32	18	484	1036	548
rpl23_pt	482	1760	3970	2680	70	212	96	618	1150	688
rpl32_pt	392	168	366	258	498	884	580	372	776	324
rpl33_pt	401	1162	3008	2132	2	10	20	248	400	252
rpl36_pt	314	24	120	72	0	2	2	18	106	22
rpoA_pt	1214	4570	11684	7256	92	136	136	8938	19582	10072
rpoB_pt	3428	24694	39812	22620	108	226	128	11948	15608	9060
rpoC1_pt	2249	4478	7294	4966	80	128	98	2848	3956	2782
rpoC2_pt	4742	27424	63268	34080	156	268	182	9060	16652	9392
rps11_pt	632	4608	12542	6788	44	72	62	448	1164	560
rps12_pt	575	1410	2880	2126	22	26	28	598	1114	822
rps14_pt	512	43260	43644	89624	786	1044	1046	627796	838780	650646
rps15_pt	473	3144	8580	3738	6	8	4	1138	2166	960
rps16_pt	458	666	1098	918	112	152	152	1184	1422	1462
rps18_pt	692	652	1776	1254	16	42	54	1022	2170	1530
rps19_pt	482	18686	55798	25766	78	214	92	696	1430	926
rps2_pt	911	10514	27070	17486	32	54	42	1834	4226	2624
rps3_pt	920	4616	14514	7244	28	50	30	258	692	318
rps4_pt	806	622	1190	1180	4	10	10	1244	1984	1616
rps7_pt	671	146162	242268	214892	6392	8442	9594	55336	95600	68804
rps8_pt	611	7518	21834	11700	60	148	76	560	930	542
ycf2_pt	800	142	126	112	0	2	0	256	302	170
ycf3_pt	710	53766	93010	72994	96	158	198	5280	9890	6334
ycf4_pt	758	26816	43708	39528	120	184	170	29270	39866	31980
*	0	0	0	0	0	0	0	0	0	0
